Year,Variables,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,source_page,source_url,datatable_index
2013,Merchandise Exports_Crude Oil (Millions of US Dollars),336.22,340.67,432.04,290.95,300.88,304.70,312.05,333.07,326.90,208.54,394.46,304.84,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2013,Merchandise Exports_Other Exports (Millions of US Dollars),259.79,203.00,225.08,301.19,249.14,283.19,251.48,263.34,266.56,283.64,265.60,271.05,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2013,Merchandise Exports_Timber and Timber Products (Millions of US Dollars),12.26,12.74,14.36,14.77,13.13,14.63,13.94,13.73,14.40,13.91,13.85,14.05,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2013,Merchandise Exports_Cocoa Beans (Millions of US Dollars),221.85,183.99,215.10,192.33,192.77,110.88,64.09,40.83,20.28,32.32,88.11,249.50,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2013,Merchandise Exports_Gold (Millions of US Dollars),575.52,422.92,463.62,364.09,505.86,365.88,417.03,299.80,294.15,435.51,437.46,383.87,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2013,Merchandise Exports (f.o.b) (Millions of US Dollars),"1,405.64","1,163.32","1,350.20","1,163.33","1,261.78","1,079.28","1,058.59",950.77,922.29,973.91,"1,199.49","1,223.32",merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2012,Merchandise Exports Less Imports_Trade Balance (Millions of US Dollars),51.40,8.30,-59.66,-367.39,-486.17,-478.77,-695.06,-522.53,-420.47,-460.01,-384.92,-384.83,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2012,Merchandise Imports_Oil & Gas (Millions of US Dollars),221.26,228.53,183.65,519.30,342.30,283.25,250.91,332.02,180.93,354.83,182.13,251.68,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2012,Merchandise Imports_Non-Oil (Millions of US Dollars),"1,046.82","1,122.45","1,315.36","1,026.66","1,357.24","1,218.42","1,272.90","1,199.55","1,104.37","1,209.95","1,279.74","1,268.22",merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2012,Merchandise Imports (f.o.b) (Millions of US Dollars),"1,268.08","1,350.98","1,499.01","1,545.96","1,699.54","1,501.67","1,523.80","1,531.57","1,285.30","1,564.78","1,461.87","1,519.90",merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2012,Merchandise Exports_Crude Oil (Millions of US Dollars),217.90,234.21,248.02,248.42,232.90,176.35,199.87,319.00,221.85,344.18,211.93,321.44,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2012,Merchandise Exports_Other Exports (Millions of US Dollars),142.71,210.42,277.46,211.42,193.31,272.33,185.05,183.36,220.75,260.13,225.78,226.58,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2012,Merchandise Exports_Timber and Timber Products (Millions of US Dollars),8.26,10.39,10.53,9.46,10.94,10.55,10.06,10.97,9.71,12.51,14.52,13.12,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2012,Merchandise Exports_Cocoa Beans (Millions of US Dollars),302.84,361.62,327.63,262.09,213.36,158.37,121.42,83.49,36.24,53.01,119.69,152.93,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2012,Merchandise Exports_Gold (Millions of US Dollars),647.76,542.64,575.71,447.18,562.86,405.30,312.35,412.22,376.28,434.94,505.03,421.00,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2012,Merchandise Exports (f.o.b) (Millions of US Dollars),"1,319.47","1,359.28","1,439.35","1,178.57","1,213.37","1,022.90",828.74,"1,009.04",864.83,"1,104.77","1,076.95","1,135.07",merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2011,Merchandise Exports Less Imports_Trade Balance (Millions of US Dollars),-186.92,-70.93,18.94,-136.15,-215.03,-300.86,-301.71,-68.55,-390.28,-215.56,-707.00,-490.96,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2011,Merchandise Imports_Oil & Gas (Millions of US Dollars),235.57,197.61,259.07,262.54,232.13,366.74,210.13,92.17,299.88,268.11,398.25,343.21,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2011,Merchandise Imports_Non-Oil (Millions of US Dollars),895.47,761.87,993.62,958.09,"1,080.60","1,105.05","1,106.73","1,180.38","1,210.55","1,140.48","1,208.84","1,030.65",merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2011,Merchandise Imports (f.o.b) (Millions of US Dollars),"1,131.04",959.48,"1,252.69","1,220.63","1,312.73","1,471.79","1,316.86","1,272.55","1,510.43","1,408.59","1,607.09","1,373.86",merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2011,Merchandise Exports_Crude Oil (Millions of US Dollars),153.44,101.52,227.33,247.83,230.74,226.12,232.78,332.67,220.22,327.02,257.67,223.32,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2011,Merchandise Exports_Other Exports (Millions of US Dollars),161.05,222.17,295.84,243.21,282.17,302.21,274.63,222.00,281.16,335.06,190.28,168.61,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2011,Merchandise Exports_Timber and Timber Products (Millions of US Dollars),10.60,15.21,15.17,14.25,14.06,15.06,13.76,16.50,14.33,10.57,13.07,13.87,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2011,Merchandise Exports_Cocoa Beans (Millions of US Dollars),241.01,236.46,273.03,190.32,157.66,172.15,138.10,170.44,111.94,57.40,54.19,131.69,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2011,Merchandise Exports_Gold (Millions of US Dollars),378.02,313.19,460.26,388.88,413.07,455.39,355.88,462.39,492.50,462.98,384.88,345.41,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2011,Merchandise Exports (f.o.b) (Millions of US Dollars),944.12,888.55,"1,271.63","1,084.48","1,097.70","1,170.93","1,015.15","1,204.00","1,120.15","1,193.03",900.09,882.90,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2010,Merchandise Exports Less Imports_Trade Balance (Millions of US Dollars),-166.47,-154.69,-290.46,-237.00,-218.56,-161.65,-98.35,-415.02,-233.30,-467.35,-149.34,-200.31,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2010,Merchandise Imports_Oil & Gas (Millions of US Dollars),172.16,168.27,180.47,212.22,213.74,146.53,97.02,210.00,158.08,218.95,166.80,139.36,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2010,Merchandise Imports_Non-Oil (Millions of US Dollars),618.04,585.59,752.21,660.34,685.77,768.75,643.89,806.27,758.57,761.97,772.58,872.21,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2010,Merchandise Imports (f.o.b) (Millions of US Dollars),790.20,753.86,932.68,872.56,899.51,915.28,740.91,"1,016.27",916.65,980.92,939.38,"1,011.57",merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2010,Merchandise Exports_Other Exports (Millions of US Dollars),147.12,170.98,214.05,182.28,213.14,228.68,208.03,215.93,200.81,182.96,236.59,184.82,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2010,Merchandise Exports_Timber and Timber Products (Millions of US Dollars),11.82,14.05,17.81,16.87,14.15,15.54,14.98,15.59,15.28,15.44,18.91,19.02,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2010,Merchandise Exports_Cocoa Beans (Millions of US Dollars),201.74,178.33,122.22,147.91,146.04,147.69,105.29,52.38,80.57,9.13,163.42,244.21,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2010,Merchandise Exports_Gold (Millions of US Dollars),263.05,235.81,288.14,288.50,307.62,361.72,314.26,317.35,386.69,306.04,371.12,363.21,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2010,Merchandise Exports (f.o.b) (Millions of US Dollars),623.73,599.17,642.22,635.56,680.95,753.63,642.56,601.25,683.35,513.57,790.04,811.26,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2009,Merchandise Exports Less Imports_Trade Balance (Millions of US Dollars),-198.16,-190.49,-273.44,-40.17,-157.53,-127.42,-284.73,-226.87,-262.62,-297.96,-136.31,-10.85,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2009,Merchandise Imports_Oil & Gas (Millions of US Dollars),88.44,83.85,105.12,97.65,92.08,114.42,150.80,104.79,158.78,244.81,143.72,104.50,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2009,Merchandise Imports_Non-Oil (Millions of US Dollars),681.16,563.57,590.15,521.29,554.59,523.92,514.18,503.34,487.46,509.17,516.03,592.43,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2009,Merchandise Imports (f.o.b) (Millions of US Dollars),769.60,647.42,695.27,618.94,646.67,638.34,664.98,608.13,646.24,753.98,659.75,696.93,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2009,Merchandise Exports_Other Exports (Millions of US Dollars),131.07,116.05,118.61,160.09,118.76,131.73,136.29,125.92,137.70,153.55,161.22,200.81,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2009,Merchandise Exports_Timber and Timber Products (Millions of US Dollars),11.34,14.99,12.87,11.34,14.90,12.87,15.01,18.24,17.03,15.49,15.09,14.99,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2009,Merchandise Exports_Cocoa Beans (Millions of US Dollars),179.06,122.96,161.30,185.75,141.67,120.23,52.49,46.60,38.44,40.96,147.69,185.22,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2009,Merchandise Exports_Gold (Millions of US Dollars),249.97,202.93,129.05,221.59,213.81,246.09,176.46,190.50,190.45,246.02,199.44,285.06,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2009,Merchandise Exports (f.o.b) (Millions of US Dollars),571.44,456.93,421.83,578.77,489.14,510.92,380.25,381.26,383.62,456.02,523.44,686.08,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2008,Merchandise Exports Less Imports_Trade Balance (Millions of US Dollars),-417.88,-386.65,-288.00,-340.07,-238.00,-287.12,-490.33,-516.62,-439.90,-409.74,-404.04,-246.29,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2008,Merchandise Imports_Oil & Gas (Millions of US Dollars),190.38,136.11,255.52,260.10,160.89,118.51,188.68,238.69,123.11,90.95,60.20,11.91,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2008,Merchandise Imports_Non-Oil (Millions of US Dollars),633.58,694.60,497.21,601.91,603.17,651.54,786.81,681.45,656.94,692.91,752.75,646.43,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2008,Merchandise Imports (f.o.b) (Millions of US Dollars),823.96,830.71,752.73,862.01,764.06,770.05,975.49,920.14,780.05,783.86,812.95,658.34,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2008,Merchandise Exports_Other Exports (Millions of US Dollars),77.12,106.29,82.46,143.13,113.17,151.81,175.52,126.94,135.52,122.04,129.88,117.68,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2008,Merchandise Exports_Timber and Timber Products (Millions of US Dollars),22.12,21.23,26.15,24.82,28.84,26.06,24.35,30.05,31.13,36.44,28.17,17.44,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2008,Merchandise Exports_Cocoa Beans (Millions of US Dollars),100.40,118.60,151.58,152.88,187.67,112.31,62.43,67.16,23.87,13.17,82.68,152.34,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2008,Merchandise Exports_Gold (Millions of US Dollars),206.44,197.94,204.54,201.10,196.38,192.75,222.86,179.36,149.64,202.47,168.19,124.58,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2008,Merchandise Exports (f.o.b) (Millions of US Dollars),406.08,444.06,464.73,521.94,526.06,482.93,485.16,403.52,340.16,374.12,408.91,412.04,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2007,Merchandise Exports Less Imports_Trade Balance (Millions of US Dollars),-243.66,-194.57,-191.85,-385.25,-328.80,-105.03,-413.85,-456.48,-412.02,-575.06,-316.22,-227.80,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2007,Merchandise Imports_Oil & Gas (Millions of US Dollars),120.14,126.65,114.32,291.51,178.92,136.30,227.46,199.30,264.80,271.24,62.35,112.28,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2007,Merchandise Imports_Non-Oil (Millions of US Dollars),481.97,399.75,428.73,433.54,533.40,346.75,511.46,592.08,468.33,609.21,678.96,484.13,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2007,Merchandise Imports (f.o.b) (Millions of US Dollars),602.11,526.40,543.05,725.05,712.32,483.05,738.92,791.38,733.13,880.45,741.31,596.41,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2007,Merchandise Exports_Other Exports (Millions of US Dollars),74.42,96.01,77.92,75.33,100.00,109.76,110.49,100.32,153.33,97.04,187.17,82.75,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2007,Merchandise Exports_Timber and Timber Products (Millions of US Dollars),19.32,19.12,22.17,17.17,20.64,22.70,22.62,23.03,17.52,24.16,20.58,19.95,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2007,Merchandise Exports_Cocoa Beans (Millions of US Dollars),107.32,110.38,119.83,104.93,125.81,99.01,55.25,62.71,9.42,7.60,63.93,109.48,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2007,Merchandise Exports_Gold (Millions of US Dollars),157.39,106.32,131.28,142.37,137.07,146.55,136.71,148.84,140.84,176.59,153.41,156.43,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2007,Merchandise Exports (f.o.b) (Millions of US Dollars),358.45,331.83,351.20,339.80,383.52,378.02,325.07,334.90,321.11,305.39,425.09,368.61,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2006,Merchandise Exports Less Imports_Trade Balance (Millions of US Dollars),-155.95,-272.74,-158.68,-138.41,-196.41,-292.44,-188.28,-317.56,-224.24,-303.90,-234.21,-305.69,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2006,Merchandise Imports_Oil & Gas (Millions of US Dollars),86.54,155.50,88.27,86.04,142.45,150.57,153.11,183.58,48.57,54.49,133.47,133.47,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2006,Merchandise Imports_Non-Oil (Millions of US Dollars),389.61,395.08,408.93,334.65,385.53,422.86,398.80,496.29,436.27,435.75,507.07,496.69,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2006,Merchandise Imports (f.o.b) (Millions of US Dollars),476.15,550.58,497.20,420.69,527.98,573.43,551.91,679.87,484.84,490.24,640.54,630.16,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2006,Merchandise Exports_Other Exports (Millions of US Dollars),102.13,84.92,88.49,91.04,100.28,79.36,114.11,98.37,118.17,48.55,163.95,127.93,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2006,Merchandise Exports_Timber and Timber Products (Millions of US Dollars),13.04,17.25,18.78,16.39,18.08,18.10,15.14,18.69,16.07,18.87,17.04,12.03,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2006,Merchandise Exports_Cocoa Beans (Millions of US Dollars),104.14,90.02,123.88,74.81,91.34,84.96,128.33,120.21,28.03,18.59,102.36,74.38,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2006,Merchandise Exports_Gold (Millions of US Dollars),100.89,85.65,107.37,100.04,121.87,98.57,106.05,125.04,98.33,100.33,122.98,110.13,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2006,Merchandise Exports (f.o.b) (Millions of US Dollars),320.20,277.84,338.52,282.28,331.57,280.99,363.63,362.31,260.60,186.34,406.33,324.47,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2005,Merchandise Exports Less Imports_Trade Balance (Millions of US Dollars),-161.41,-215.15,-134.66,-179.29,-206.67,-212.35,-225.32,-307.16,-224.54,-280.74,-241.61,-203.82,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2005,Merchandise Imports_Oil & Gas (Millions of US Dollars),33.35,95.27,80.53,21.91,98.08,122.16,90.36,131.86,47.87,118.61,107.03,119.22,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2005,Merchandise Imports_Non-Oil (Millions of US Dollars),303.92,315.97,328.94,363.49,323.63,328.16,351.86,433.40,418.90,324.80,342.38,378.11,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2005,Merchandise Imports (f.o.b) (Millions of US Dollars),337.27,411.24,409.47,385.40,421.71,450.32,442.22,565.26,466.77,443.41,449.41,497.33,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2005,Merchandise Exports_Other Exports (Millions of US Dollars),20.93,-2.34,67.60,45.59,27.33,59.49,71.21,88.65,132.70,47.42,72.14,79.24,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2005,Merchandise Exports_Timber and Timber Products (Millions of US Dollars),13.70,15.42,21.47,21.79,20.82,19.26,20.94,19.40,19.15,19.32,19.32,16.70,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2005,Merchandise Exports_Cocoa Beans (Millions of US Dollars),70.74,119.15,97.20,64.32,94.43,74.86,61.90,62.60,15.12,17.24,37.65,103.24,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2005,Merchandise Exports_Gold (Millions of US Dollars),70.50,63.85,88.54,74.41,72.46,84.37,62.84,87.46,75.25,78.68,78.68,94.34,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2005,Merchandise Exports (f.o.b) (Millions of US Dollars),175.86,196.09,274.81,206.11,215.04,237.97,216.90,258.11,242.23,162.66,207.80,293.51,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
